"cluster","Species","freq","count"
"1","Acer negundo",6.25,32
"1","Medeola virginiana",6.25,32
"1","Acer rubrum",21.875,32
"1","Mentha arvensis",18.75,32
"1","Acer saccharinum",25,32
"1","Milium effusum",3.125,32
"1","Actaea rubra",3.125,32
"1","Cyperus",3.125,32
"1","Cypripedium candidum",3.125,32
"1","Cypripedium parviflorum",3.125,32
"1","Alnus incana",6.25,32
"1","Amaranthus",3.125,32
"1","Myosoton aquaticum",3.125,32
"1","Ambrosia trifida",3.125,32
"1","Dryopteris carthusiana",6.25,32
"1","Amelanchier arborea",3.125,32
"1","Amphicarpaea bracteata",15.625,32
"1","Oenothera biennis",3.125,32
"1","Anemone canadensis",3.125,32
"1","Angelica atropurpurea",6.25,32
"1","Apios americana",12.5,32
"1","Aquilegia canadensis",3.125,32
"1","Aralia nudicaulis",9.375,32
"1","Eleocharis elliptica",6.25,32
"1","Arisaema triphyllum",12.5,32
"1","Asclepias incarnata",25,32
"1","Athyrium angustum",9.375,32
"1","Athyrium filix-femina",3.125,32
"1","Bartonia virginica",3.125,32
"1","Epilobium coloratum",15.625,32
"1","Berberis thunbergii",3.125,32
"1","Betula alleghaniensis",15.625,32
"1","Betula pumila",3.125,32
"1","Bidens",3.125,32
"1","Erigeron strigosus",3.125,32
"1","Bidens cernua",0,32
"1","Bidens frondosa",3.125,32
"1","Euthamia graminifolia",12.5,32
"1","Bidens tripartita",12.5,32
"1","Fagus grandifolia",3.125,32
"1","Boehmeria cylindrica",37.5,32
"1","Fallopia convolvulus",3.125,32
"1","Brachyelytrum erectum",3.125,32
"1","Bromus ciliatus",3.125,32
"1","Calamagrostis canadensis",15.625,32
"1","Caltha palustris",15.625,32
"1","Fraxinus pennsylvanica",28.125,32
"1","Cardamine",3.125,32
"1","Cardamine bulbosa",3.125,32
"1","Cardamine pratensis",3.125,32
"1","Carex",15.625,32
"1","Galium boreale",3.125,32
"1","Galium tinctorium",3.125,32
"1","Carex alata",3.125,32
"1","Carex bebbii",6.25,32
"1","Geum canadense",12.5,32
"1","Carex blanda",3.125,32
"1","Glyceria",3.125,32
"1","Carex brunnescens",3.125,32
"1","Carex comosa",15.625,32
"1","Carex cristatella",9.375,32
"1","Carex cryptolepis",3.125,32
"1","Carex diandra",3.125,32
"1","Carex flava",3.125,32
"1","Carex gracillima",3.125,32
"1","Ilex verticillata",18.75,32
"1","Carex hystericina",12.5,32
"1","Carex lacustris",28.125,32
"1","Proserpinaca palustris",3.125,32
"1","Carex lasiocarpa",3.125,32
"1","Carex leptalea",6.25,32
"1","Carex leptonervia",3.125,32
"1","Juncus brachycephalus",3.125,32
"1","Carex lurida",3.125,32
"1","Carex pellita",6.25,32
"1","Carex prairea",3.125,32
"1","Carex pseudocyperus",3.125,32
"1","Carex retrorsa",3.125,32
"1","Carex rosea",3.125,32
"1","Quercus rubra",9.375,32
"1","Carex seorsa",3.125,32
"1","Carex stipata",15.625,32
"1","Lathyrus palustris",3.125,32
"1","Carex stricta",25,32
"1","Carex trichocarpa",3.125,32
"1","Carex viridula",3.125,32
"1","Carex vulpinoidea",3.125,32
"1","Carpinus caroliniana",18.75,32
"1","Lemna minor",6.25,32
"1","Carya cordiformis",3.125,32
"1","Ribes hirtellum",3.125,32
"1","Lepidium campestre",3.125,32
"1","Liatris spicata",3.125,32
"1","Cephalanthus occidentalis",6.25,32
"1","Lilium michiganense",3.125,32
"1","Chamaedaphne calyculata",3.125,32
"1","Chara",6.25,32
"1","Chelone glabra",6.25,32
"1","Chelone obliqua",3.125,32
"1","Chrysosplenium americanum",3.125,32
"1","Cicuta bulbifera",3.125,32
"1","Cicuta maculata",9.375,32
"1","Lonicera maackii",3.125,32
"1","Cinna arundinacea",9.375,32
"1","Rudbeckia hirta",3.125,32
"1","Circaea canadensis",9.375,32
"1","Lycopus",6.25,32
"1","Cirsium",3.125,32
"1","Cirsium arvense",9.375,32
"1","Cirsium muticum",9.375,32
"1","Cirsium vulgare",3.125,32
"1","Cladium mariscoides",3.125,32
"1","Clematis virginiana",9.375,32
"1","Salix eriocephala",6.25,32
"1","Collinsonia canadensis",3.125,32
"1","Lysimachia terrestris",3.125,32
"1","Conocephalum conicum",3.125,32
"1","Coptis trifolia",6.25,32
"1","Cornus",3.125,32
"1","Cornus alba",12.5,32
"1","Cornus obliqua",25,32
"1","Cornus racemosa",28.125,32
"1","Sanicula odorata",3.125,32
"1","Corylus americana",3.125,32
"1","Sassafras albidum",6.25,32
"1","Cryptotaenia canadensis",9.375,32
"1","Schoenoplectus",3.125,32
"1","Cuscuta gronovii",3.125,32
"1","Mitchella repens",6.25,32
"1","Mitella diphylla",9.375,32
"1","Monarda fistulosa",6.25,32
"1","Cystopteris protrusa",3.125,32
"1","Dasiphora fruticosa",9.375,32
"1","Scrophularia lanceolata",3.125,32
"1","Doellingeria umbellata",6.25,32
"1","Nuphar advena",3.125,32
"1","Nyssa sylvatica",3.125,32
"1","Dryopteris cristata",6.25,32
"1","Senecio hieraciifolius",3.125,32
"1","Dulichium arundinaceum",3.125,32
"1","Echinochloa",3.125,32
"1","Echinocystis lobata",6.25,32
"1","Elaeagnus umbellata",6.25,32
"1","Eleocharis",3.125,32
"1","Smilax lasioneuron",3.125,32
"1","Eleocharis palustris",9.375,32
"1","Elymus hystrix",3.125,32
"1","Oxalis stricta",3.125,32
"1","Elymus trachycaulus",3.125,32
"1","Elymus virginicus",3.125,32
"1","Packera aurea",3.125,32
"1","Parthenocissus quinquefolia",31.25,32
"1","Equisetum arvense",3.125,32
"1","Equisetum fluviatile",9.375,32
"1","Erigeron canadensis",6.25,32
"1","Penthorum sedoides",6.25,32
"1","Erysimum cheiranthoides",3.125,32
"1","Eupatorium perfoliatum",46.875,32
"1","Persicaria lapathifolia",3.125,32
"1","Eutrochium maculatum",50,32
"1","Persicaria sagittata",18.75,32
"1","Persicaria virginiana",9.375,32
"1","Symphyotrichum lateriflorum",9.375,32
"1","Fragaria vesca",3.125,32
"1","Frangula alnus",12.5,32
"1","Phragmites australis",3.125,32
"1","Fraxinus nigra",18.75,32
"1","Symplocarpus foetidus",25,32
"1","Pilea",3.125,32
"1","Galium aparine",18.75,32
"1","Pilea pumila",3.125,32
"1","Galium asprellum",3.125,32
"1","Pinus strobus",6.25,32
"1","Platanthera clavellata",6.25,32
"1","Geranium maculatum",3.125,32
"1","Geum aleppicum",6.25,32
"1","Poa",3.125,32
"1","Poa compressa",3.125,32
"1","Poa palustris",9.375,32
"1","Glyceria grandis",3.125,32
"1","Glyceria striata",25,32
"1","Polygonatum pubescens",6.25,32
"1","Populus deltoides",15.625,32
"1","Helianthus giganteus",9.375,32
"1","Hydrocotyle americana",3.125,32
"1","Hypericum fraseri",6.25,32
"1","Potentilla norvegica",3.125,32
"1","Potentilla simplex",3.125,32
"1","Impatiens capensis",46.875,32
"1","Uvularia grandiflora",3.125,32
"1","Iris virginica",21.875,32
"1","Prunus serotina",12.5,32
"1","Juglans nigra",6.25,32
"1","Prunus virginiana",6.25,32
"1","Juncus dudleyi",6.25,32
"1","Juncus marginatus",3.125,32
"1","Juncus nodosus",3.125,32
"1","Juniperus virginiana",6.25,32
"1","Lactuca",3.125,32
"1","Laportea canadensis",3.125,32
"1","Viola canadensis",3.125,32
"1","Larix laricina",9.375,32
"1","Lathyrus",3.125,32
"1","Vitis riparia",25,32
"1","Leersia oryzoides",25,32
"1","Rhamnus alnifolia",6.25,32
"1","Leersia virginica",0,32
"1","Rhynchospora capillacea",3.125,32
"1","Lemna",3.125,32
"1","Ribes cynosbati",3.125,32
"1","Lemna turionifera",6.25,32
"1","Scirpus",3.125,32
"1","Scirpus atrovirens",6.25,32
"1","Ricciocarpos natans",3.125,32
"1","Ligustrum vulgare",3.125,32
"1","Nabalus albus",0,32
"1","Lindera benzoin",25,32
"1","Torreyochloa pallida",3.125,32
"1","Liriodendron tulipifera",9.375,32
"1","Lobelia cardinalis",3.125,32
"1","Rubus hispidus",3.125,32
"1","Lobelia siphilitica",9.375,32
"1","Lobelia spicata",3.125,32
"1","Rubus pubescens",12.5,32
"1","Osmunda spectabilis",9.375,32
"1","Populus grandidentata",3.125,32
"1","Ludwigia palustris",6.25,32
"1","Rumex altissimus",3.125,32
"1","Lycopus americanus",21.875,32
"1","Rumex crispus",12.5,32
"1","Lycopus uniflorus",12.5,32
"1","Salix amygdaloides",3.125,32
"1","Lysimachia borealis",6.25,32
"1","Lysimachia ciliata",9.375,32
"1","Pedicularis lanceolata",3.125,32
"1","Lysimachia quadriflora",3.125,32
"1","Salix myricoides",6.25,32
"1","Lysimachia thyrsiflora",6.25,32
"1","Lythrum salicaria",6.25,32
"1","Maianthemum canadense",9.375,32
"1","Maianthemum racemosum",3.125,32
"1","Sambucus nigra",21.875,32
"1","Maianthemum stellatum",3.125,32
"1","Ranunculus",3.125,32
"1","Menispermum canadense",3.125,32
"1","Phleum pratense",3.125,32
"1","Micranthes pensylvanica",6.25,32
"1","Physocarpus opulifolius",6.25,32
"1","Mimulus ringens",6.25,32
"1","Schoenoplectus pungens",3.125,32
"1","Schoenoplectus tabernaemontani",3.125,32
"1","Thelypteris palustris",34.375,32
"1","Sphagnum",3.125,32
"1","Muhlenbergia glomerata",3.125,32
"1","Tilia americana",6.25,32
"1","Platanthera psycodes",3.125,32
"1","Scutellaria lateriflora",15.625,32
"1","Rosa palustris",9.375,32
"1","Selaginella eclipes",6.25,32
"1","Rubus allegheniensis",6.25,32
"1","Onoclea sensibilis",43.75,32
"1","Sium suave",3.125,32
"1","Osmorhiza claytonii",3.125,32
"1","Osmunda regalis",9.375,32
"1","Typha latifolia",15.625,32
"1","Smilax hispida",12.5,32
"1","Osmundastrum cinnamomeum",21.875,32
"1","Ulmus rubra",3.125,32
"1","Solidago",3.125,32
"1","Symphyotrichum lanceolatum",9.375,32
"1","Packera",3.125,32
"1","Solidago canadensis",3.125,32
"1","Solidago gigantea",18.75,32
"1","Solidago patula",15.625,32
"1","Verbena hastata",18.75,32
"1","Peltandra virginica",3.125,32
"1","Pycnanthemum virginianum",15.625,32
"1","Persicaria",9.375,32
"1","Quercus alba",3.125,32
"1","Spiraea alba",9.375,32
"1","Persicaria punctata",3.125,32
"1","Salix sericea",3.125,32
"1","Rosa multiflora",12.5,32
"1","Sambucus racemosa",6.25,32
"1","Phalaris arundinacea",50,32
"1","Ranunculus pensylvanicus",6.25,32
"1","Woodwardia virginica",3.125,32
"1","Rhamnus cathartica",3.125,32
"1","Zanthoxylum americanum",3.125,32
"1","Thalictrum dasycarpum",12.5,32
"1","Pilea fontana",9.375,32
"1","Zizia aurea",3.125,32
"1","Quercus bicolor",18.75,32
"1","Thuja occidentalis",3.125,32
"1","Scirpus cyperinus",9.375,32
"1","Urtica dioica",9.375,32
"1","Platanus occidentalis",3.125,32
"1","Torilis japonica",6.25,32
"1","Toxicodendron radicans",12.5,32
"1","Vaccinium corymbosum",9.375,32
"1","Toxicodendron vernix",28.125,32
"1","Polygonatum biflorum",3.125,32
"1","Typha",3.125,32
"1","Typha angustifolia",25,32
"1","Sonchus asper",3.125,32
"1","Viburnum lentago",9.375,32
"1","Populus tremuloides",6.25,32
"1","Rudbeckia laciniata",6.25,32
"1","Symphyotrichum",3.125,32
"1","Quercus velutina",6.25,32
"1","Viola striata",6.25,32
"1","Vaccinium angustifolium",3.125,32
"1","Salix",12.5,32
"1","Verbascum thapsus",3.125,32
"1","Salix discolor",9.375,32
"1","Pteridium aquilinum",6.25,32
"1","Salix interior",6.25,32
"1","Schoenoplectus acutus",6.25,32
"1","Vernonia missurica",3.125,32
"1","Viola",3.125,32
"1","Viola blanda",12.5,32
"1","Solanum dulcamara",15.625,32
"1","Symphyotrichum novae-angliae",3.125,32
"1","Scutellaria galericulata",3.125,32
"1","Vitis aestivalis",3.125,32
"1","Ribes",6.25,32
"1","Trillium cernuum",3.125,32
"1","Saururus cernuus",6.25,32
"1","Symphyotrichum puniceum",40.625,32
"1","Ulmus americana",21.875,32
"1","Salix petiolaris",9.375,32
"1","Solidago altissima",15.625,32
"1","Salix nigra",9.375,32
"1","Silene latifolia",3.125,32
"1","Rubus idaeus",3.125,32
"1","Solidago rugosa",15.625,32
"1","Salix bebbiana",3.125,32
"1","Viburnum opulus",3.125,32
"1","Spartina pectinata",3.125,32
"1","Xanthium strumarium",3.125,32
"2","Amphicarpaea bracteata",13.3333333333333,15
"2","Lindera benzoin",26.6666666666667,15
"2","Oxalis stricta",6.66666666666667,15
"2","Pilea pumila",53.3333333333333,15
"2","Carex lacustris",6.66666666666667,15
"2","Lemna turionifera",6.66666666666667,15
"2","Acer rubrum",6.66666666666667,15
"2","Cephalanthus occidentalis",26.6666666666667,15
"2","Arctium minus",20,15
"2","Potentilla simplex",6.66666666666667,15
"2","Rumex verticillatus",6.66666666666667,15
"2","Catalpa speciosa",6.66666666666667,15
"2","Circaea canadensis",6.66666666666667,15
"2","Rubus allegheniensis",6.66666666666667,15
"2","Climacium",6.66666666666667,15
"2","Lycopus americanus",6.66666666666667,15
"2","Carex bromoides",6.66666666666667,15
"2","Galium aparine",6.66666666666667,15
"2","Rubus pubescens",13.3333333333333,15
"2","Rosa palustris",13.3333333333333,15
"2","Cinna arundinacea",20,15
"2","Bidens tripartita",13.3333333333333,15
"2","Maianthemum racemosum",6.66666666666667,15
"2","Acer negundo",20,15
"2","Ambrosia artemisiifolia",6.66666666666667,15
"2","Lycopus uniflorus",20,15
"2","Frangula alnus",6.66666666666667,15
"2","Acer saccharinum",80,15
"2","Carex stipata",13.3333333333333,15
"2","Carya cordiformis",6.66666666666667,15
"2","Lonicera maackii",6.66666666666667,15
"2","Ribes cynosbati",6.66666666666667,15
"2","Riccia fluitans",6.66666666666667,15
"2","Morus alba",6.66666666666667,15
"2","Celtis occidentalis",20,15
"2","Dichanthelium latifolium",6.66666666666667,15
"2","Rosa multiflora",33.3333333333333,15
"2","Dryopteris carthusiana",26.6666666666667,15
"2","Sanicula odorata",13.3333333333333,15
"2","Nyssa sylvatica",6.66666666666667,15
"2","Dryopteris marginalis",6.66666666666667,15
"2","Lobelia cardinalis",6.66666666666667,15
"2","Rubus occidentalis",20,15
"2","Ageratina altissima",13.3333333333333,15
"2","Cicuta maculata",6.66666666666667,15
"2","Alliaria petiolata",13.3333333333333,15
"2","Lonicera morrowii",13.3333333333333,15
"2","Osmundastrum cinnamomeum",6.66666666666667,15
"2","Solanum dulcamara",6.66666666666667,15
"2","Elymus hystrix",26.6666666666667,15
"2","Solidago",6.66666666666667,15
"2","Scutellaria lateriflora",40,15
"2","Bartonia virginica",6.66666666666667,15
"2","Epilobium coloratum",6.66666666666667,15
"2","Parthenocissus quinquefolia",46.6666666666667,15
"2","Lysimachia nummularia",6.66666666666667,15
"2","Sium suave",6.66666666666667,15
"2","Commelina communis",6.66666666666667,15
"2","Smilax hispida",6.66666666666667,15
"2","Salix nigra",6.66666666666667,15
"2","Bidens frondosa",33.3333333333333,15
"2","Carex rosea",13.3333333333333,15
"2","Symphyotrichum",6.66666666666667,15
"2","Boehmeria cylindrica",53.3333333333333,15
"2","Cornus racemosa",6.66666666666667,15
"2","Symphyotrichum lateriflorum",6.66666666666667,15
"2","Crataegus",6.66666666666667,15
"2","Symphyotrichum ontarionis",13.3333333333333,15
"2","Campanulastrum americanum",13.3333333333333,15
"2","Phytolacca americana",26.6666666666667,15
"2","Fraxinus pennsylvanica",46.6666666666667,15
"2","Agrimonia gryposepala",6.66666666666667,15
"2","Thelypteris palustris",13.3333333333333,15
"2","Thuidium",6.66666666666667,15
"2","Carex",6.66666666666667,15
"2","Carex [ovales]",6.66666666666667,15
"2","Tilia americana",13.3333333333333,15
"2","Ambrosia trifida",13.3333333333333,15
"2","Carex bebbii",20,15
"2","Geum canadense",33.3333333333333,15
"2","Toxicodendron radicans",66.6666666666667,15
"2","Podophyllum peltatum",6.66666666666667,15
"2","Onoclea sensibilis",40,15
"2","Glyceria striata",20,15
"2","Hackelia virginiana",6.66666666666667,15
"2","Populus deltoides",6.66666666666667,15
"2","Osmunda spectabilis",6.66666666666667,15
"2","Ulmus americana",66.6666666666667,15
"2","Carex grayi",13.3333333333333,15
"2","Ilex verticillata",13.3333333333333,15
"2","Urtica dioica",20,15
"2","Impatiens capensis",6.66666666666667,15
"2","Prunella vulgaris",6.66666666666667,15
"2","Iris virginica",6.66666666666667,15
"2","Prunus serotina",20,15
"2","Carex lupulina",13.3333333333333,15
"2","Bidens",6.66666666666667,15
"2","Sparganium americanum",6.66666666666667,15
"2","Viburnum lentago",6.66666666666667,15
"2","Persicaria hydropiperoides",13.3333333333333,15
"2","Quercus bicolor",26.6666666666667,15
"2","Quercus palustris",33.3333333333333,15
"2","Laportea canadensis",13.3333333333333,15
"2","Fagus grandifolia",6.66666666666667,15
"2","Persicaria virginiana",53.3333333333333,15
"2","Ranunculus hispidus",13.3333333333333,15
"2","Vitis riparia",40,15
"2","Leersia oryzoides",6.66666666666667,15
"2","Cryptotaenia canadensis",6.66666666666667,15
"2","Leersia virginica",6.66666666666667,15
"2","Zanthoxylum americanum",6.66666666666667,15
"2","Carpinus caroliniana",6.66666666666667,15
