"","1","2","3","4","5","6","7","8"
"Acer.negundo",17,0,0,30,0,0,17,0
"Acer.rubrum",0,40,11,30,0,0,0,100
"Acer.saccharinum",33,40,78,50,25,0,33,17
"Ageratina.altissima",0,0,0,20,0,0,0,0
"Alliaria.petiolata",0,0,0,30,0,0,0,0
"Alnus.incana",0,0,0,0,0,0,0,33
"Ambrosia.trifida",0,0,0,20,0,0,17,0
"Amphicarpaea.bracteata",0,20,0,20,0,0,17,50
"Anemone.canadensis",0,0,0,0,25,0,0,0
"Angelica.atropurpurea",0,0,0,0,50,0,0,0
"Apios.americana",0,0,0,0,50,0,0,33
"Aralia.nudicaulis",0,0,0,0,0,0,0,50
"Arctium.minus",0,0,0,30,0,0,0,0
"Arisaema.triphyllum",0,20,0,0,0,0,0,50
"Asclepias.incarnata",0,0,11,0,25,50,50,17
"Athyrium.angustum",0,20,0,0,0,0,0,33
"Betula.alleghaniensis",0,40,0,0,0,0,0,67
"Bidens.frondosa",0,0,22,30,0,0,17,0
"Bidens.tripartita",17,20,11,10,0,0,17,17
"Boehmeria.cylindrica",67,20,78,10,0,17,33,67
"Bromus.ciliatus",0,0,0,0,25,0,0,0
"Calamagrostis.canadensis",17,0,0,0,75,0,17,0
"Caltha.palustris",0,0,0,0,25,0,0,67
"Campanulastrum.americanum",0,0,0,20,0,0,0,0
"Carex.bebbii",0,0,33,0,0,0,33,0
"Carex.brunnescens",0,0,0,0,25,0,0,0
"Carex.comosa",0,0,0,0,25,0,0,67
"Carex.cristatella",0,0,0,0,0,0,33,17
"Carex.grayi",0,0,0,20,0,0,0,0
"Carex.hystericina",0,0,0,0,25,17,17,17
"Carex.lacustris",33,60,11,0,0,0,50,17
"Carex.lupulina",0,0,22,0,0,0,0,0
"Carex.lurida",0,20,0,0,0,0,0,0
"Carex.pellita",0,0,0,0,25,0,0,0
"Carex.prairea",0,0,0,0,25,0,0,0
"Carex.rosea",0,0,0,20,0,0,0,17
"Carex.stipata",0,0,0,20,25,0,17,50
"Carex.stricta",0,0,0,0,100,17,50,0
"Carex.trichocarpa",0,0,0,0,25,0,0,0
"Carpinus.caroliniana",0,60,11,0,0,0,0,50
"Carya.cordiformis",0,0,11,20,0,0,0,0
"Celtis.occidentalis",0,0,0,30,0,0,0,0
"Cephalanthus.occidentalis",17,20,67,0,0,0,0,0
"Chara",0,0,0,0,0,33,0,0
"Chelone.glabra",0,0,0,0,0,0,0,33
"Chelone.obliqua",0,0,0,0,25,0,0,0
"Chrysosplenium.americanum",0,20,0,0,0,0,0,0
"Cicuta.maculata",0,0,11,0,25,0,0,33
"Cinna.arundinacea",17,0,0,30,0,0,17,17
"Circaea.canadensis",0,0,0,10,0,0,17,33
"Cirsium.arvense",0,0,0,0,0,0,50,0
"Cirsium.muticum",0,0,0,0,25,17,0,17
"Clematis.virginiana",0,20,0,0,0,0,17,17
"Coptis.trifolia",0,0,0,0,0,0,0,33
"Cornus.alba",0,0,0,0,25,17,33,0
"Cornus.obliqua",33,40,0,0,25,0,17,17
"Cornus.racemosa",0,20,0,20,75,17,33,33
"Cryptotaenia.canadensis",0,20,0,10,0,0,0,33
"Dasiphora.fruticosa",0,0,0,0,25,17,0,0
"Doellingeria.umbellata",0,20,0,0,0,0,0,17
"Dryopteris.carthusiana",0,0,33,10,0,0,0,33
"Dryopteris.cristata",0,0,0,0,0,0,0,33
"Eleocharis.elliptica",0,0,0,0,0,33,0,0
"Eleocharis.palustris",0,0,0,0,0,17,33,0
"Elymus.hystrix",0,0,0,40,0,0,0,17
"Elymus.trachycaulus",0,0,0,0,25,0,0,0
"Epilobium.coloratum",0,40,11,0,0,0,50,0
"Equisetum.fluviatile",0,20,0,0,0,0,17,17
"Erigeron.canadensis",0,0,0,0,0,0,33,0
"Eupatorium.perfoliatum",17,40,0,0,75,33,83,33
"Euthamia.graminifolia",0,0,0,0,0,0,67,0
"Eutrochium.maculatum",33,40,0,0,75,33,100,17
"Frangula.alnus",0,0,11,0,25,17,0,33
"Fraxinus.nigra",0,40,0,0,25,0,0,50
"Fraxinus.pennsylvanica",33,80,44,40,0,0,0,33
"Galium.aparine",0,0,0,10,25,0,17,67
"Galium.boreale",0,0,0,0,25,0,0,0
"Geum.aleppicum",0,0,0,0,0,0,33,0
"Geum.canadense",0,0,0,60,0,0,17,33
"Glyceria.striata",0,40,33,0,25,17,17,50
"Helianthus.giganteus",0,0,0,0,0,0,33,17
"Hydrocotyle.americana",0,0,0,0,25,0,0,0
"Hypericum.fraseri",0,0,0,0,0,33,0,0
"Ilex.verticillata",0,40,33,0,0,0,0,100
"Impatiens.capensis",50,100,0,10,25,0,50,50
"Iris.virginica",0,20,11,0,50,17,33,17
"Juglans.nigra",33,0,0,0,0,0,0,0
"Laportea.canadensis",0,0,0,20,0,0,0,17
"Larix.laricina",0,0,0,0,0,33,0,33
"Lathyrus.palustris",0,0,0,0,25,0,0,0
"Leersia.oryzoides",17,0,11,0,0,0,67,50
"Lemna.minor",0,0,0,0,0,0,0,33
"Lindera.benzoin",0,60,22,30,0,17,0,50
"Liriodendron.tulipifera",0,20,0,10,0,17,0,0
"Lobelia.siphilitica",0,20,0,0,0,0,0,33
"Lonicera.maackii",0,0,0,20,0,0,0,0
"Lonicera.morrowii",0,0,0,20,0,0,0,0
"Ludwigia.palustris",0,0,0,0,0,0,33,0
"Lycopus.americanus",0,0,0,10,25,17,67,17
"Lycopus.uniflorus",0,0,33,0,25,0,0,50
"Lysimachia.borealis",0,0,0,0,0,0,0,33
"Lysimachia.ciliata",0,0,0,0,0,0,0,50
"Lysimachia.terrestris",0,0,0,0,0,33,0,0
"Lythrum.salicaria",0,0,0,0,25,17,0,0
"Maianthemum.canadense",0,0,0,0,0,0,0,50
"Maianthemum.racemosum",0,0,0,20,0,0,0,17
"Medeola.virginiana",0,0,0,0,0,0,0,33
"Menispermum.canadense",0,20,0,0,0,0,0,0
"Mentha.arvensis",0,0,0,0,25,17,50,17
"Micranthes.pensylvanica",0,0,0,0,25,0,0,17
"Mimulus.ringens",0,0,0,0,0,0,33,0
"Mitchella.repens",0,0,0,0,0,0,0,33
"Mitella.diphylla",0,0,0,0,0,0,0,50
"Monarda.fistulosa",0,0,0,0,50,0,0,0
"Nyssa.sylvatica",0,0,11,0,0,0,0,33
"Onoclea.sensibilis",17,80,67,0,75,0,33,67
"Osmunda.cinnamomea",17,20,0,0,0,17,0,83
"Osmunda.regalis",0,20,11,0,0,17,0,33
"Osmunda.spectabilis",0,0,11,0,0,0,0,50
"Parthenocissus.quinquefolia",17,60,22,60,25,0,33,50
"Penthorum.sedoides",0,0,0,0,0,0,33,0
"Persicaria.sagittata",0,40,0,0,0,0,50,17
"Persicaria.virginiana",0,0,0,100,0,0,0,33
"Phalaris.arundinacea",100,40,11,10,25,17,83,17
"Physocarpus.opulifolius",0,0,0,0,50,0,0,0
"Phytolacca.americana",0,0,0,40,0,0,0,0
"Pilea.fontana",0,20,0,0,0,0,0,33
"Pilea.pumila",0,20,22,60,0,0,0,0
"Pinus.strobus",0,0,0,0,0,0,0,33
"Platanthera.clavellata",0,0,0,0,0,0,0,33
"Platanthera.psycodes",0,20,0,0,0,0,0,0
"Poa.palustris",17,0,0,0,0,0,33,0
"Polygonatum.pubescens",0,0,0,0,0,0,0,33
"Populus.deltoides",0,0,0,10,25,0,50,17
"Populus.tremuloides",0,0,0,0,25,0,17,0
"Prunus.serotina",17,20,0,50,0,0,0,17
"Prunus.virginiana",0,0,0,0,0,0,0,33
"Pycnanthemum.virginianum",0,0,0,0,75,17,17,0
"Quercus.bicolor",17,60,11,30,0,0,0,33
"Quercus.palustris",0,0,22,30,0,0,0,0
"Quercus.rubra",0,0,0,0,0,0,0,50
"Quercus.velutina",0,0,0,20,0,0,0,17
"Ranunculus.hispidus",0,0,0,20,0,0,0,0
"Ranunculus.pensylvanicus",0,20,0,0,25,0,0,0
"Ribes.cynosbati",0,0,0,20,0,0,0,17
"Ribes.hirtellum",0,0,0,0,25,0,0,0
"Rosa.multiflora",0,0,22,50,0,0,17,33
"Rosa.palustris",0,20,22,0,0,17,0,17
"Rubus.occidentalis",0,0,0,40,0,0,0,0
"Rubus.pubescens",0,0,22,0,0,0,17,50
"Rudbeckia.laciniata",0,20,0,0,0,0,0,17
"Rumex.altissimus",0,0,0,0,25,0,0,0
"Rumex.crispus",0,20,0,0,0,0,17,33
"Salix.discolor",0,0,0,0,25,17,0,17
"Salix.eriocephala",0,0,0,0,25,0,0,0
"Salix.interior",0,0,0,0,25,0,17,0
"Salix.myricoides",0,0,0,0,50,0,0,0
"Salix.nigra",33,0,0,10,0,0,17,0
"Salix.petiolaris",0,20,0,0,25,0,0,0
"Salix.sericea",0,0,0,0,25,0,0,0
"Sambucus.nigra",17,20,0,0,0,0,50,17
"Sambucus.racemosa",0,20,0,0,0,0,0,17
"Sanicula.odorata",0,0,0,20,0,0,0,17
"Sassafras.albidum",0,0,0,20,0,0,0,17
"Saururus.cernuus",0,20,11,0,0,17,0,0
"Schoenoplectus.acutus",0,0,0,0,0,33,0,0
"Scirpus.atrovirens",0,0,0,0,0,0,33,0
"Scirpus.cyperinus",17,0,0,0,0,0,33,0
"Scutellaria.lateriflora",0,20,56,10,0,0,17,50
"Selaginella.eclipes",0,0,0,0,0,33,0,0
"Smilax.hispida",0,0,0,20,0,0,0,50
"Solanum.dulcamara",0,0,22,0,25,0,17,50
"Solidago.altissima",17,0,0,0,0,0,67,0
"Solidago.canadensis",0,0,0,0,25,0,0,0
"Solidago.gigantea",0,0,0,0,25,17,50,17
"Solidago.patula",0,20,0,0,25,0,0,50
"Solidago.rugosa",0,20,0,0,0,0,0,67
"Sphagnum",0,0,0,0,0,0,0,50
"Spiraea.alba",0,20,0,0,50,0,0,0
"Symphyotrichum.lanceolatum",0,0,0,0,0,17,33,17
"Symphyotrichum.lateriflorum",0,0,11,10,0,0,0,33
"Symphyotrichum.novae.angliae",0,0,0,0,25,0,0,0
"Symphyotrichum.ontarionis",0,0,22,0,0,0,0,0
"Symphyotrichum.puniceum",0,60,0,0,25,0,100,50
"Symplocarpus.foetidus",0,60,0,0,25,17,17,50
"Thalictrum.dasycarpum",0,0,0,0,25,0,0,33
"Thelypteris.palustris",17,0,22,0,50,67,17,50
"Torilis.japonica",0,0,0,0,0,0,33,0
"Toxicodendron.radicans",0,20,44,70,0,0,17,50
"Toxicodendron.vernix",17,20,0,0,0,50,0,67
"Typha.angustifolia",0,0,0,0,0,67,67,17
"Typha.latifolia",33,0,0,0,0,17,17,17
"Ulmus.americana",17,0,67,60,25,0,17,50
"Urtica.dioica",0,0,0,30,0,0,50,0
"Vaccinium.corymbosum",0,0,0,0,0,0,0,83
"Verbena.hastata",0,0,0,0,25,0,83,0
"Vernonia.missurica",0,0,0,0,25,0,0,0
"Viburnum.lentago",0,20,0,10,0,0,0,33
"Viola.blanda",0,0,0,0,0,0,17,50
"Viola.striata",0,0,0,0,0,0,0,33
"Vitis.aestivalis",0,0,0,20,0,0,0,0
"Vitis.riparia",17,20,22,40,0,0,33,67
"Woodwardia.virginica",0,0,0,0,0,0,0,33
"Zizia.aurea",0,0,0,0,25,0,0,0
